Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail,A1-PP7,A1-PP30
LIO,,,430,462,425,23000,3500,380,10591,589,288,589,770,10,400,2947,200,,,0,,,0,301,727,375,8791,300,301,16305,68.56999969,10,68.59999847,10,,,0,369,12880,375,18006,42,350,1477,388.3378349,388.8074031
LIS,450000,,450458.3438,3,475000,5,5,451000,105,475000,2,475000,9,5,451000,107,255694.2188,,,0,,,0,451000,5,470000,17,2,451000,104,255694.2188,,,0,,,0,450000,3,470000,3,100,450000,104,496875,466517.8586
LIT,,,16000,2,18000,292,,,0,19900,237,19900,725,,,0,13529.11035,,,0,,,0,18900,23,18800,263,,,0,13529.11035,,,0,,,0,14500,100,19600,1834,,,0,16000,16000
LOG,68000,,68100,41,68100,107,100,68000,120,68053.3125,15,68100,79,100,68000,107,65000,,,0,,,0,68100,22,69000,382,681,68100,781,28013.40039,1,69700,1,,,0,68100,45,68100,69,100,68000,122,68550.54165,68119.31417
LSE,,,9390,85,9390,1254,23,9110,1595,9824.339844,22,9980,1112,4,8700,958,9000,25,10000,81,,,0,9980,78,9980,3586,100,8830,2146,10300,191,10300,295,30,8000,30,8000,19,9990,2254,192,8000,408,9690.447814,10182.00825
LSL,,,415000,,,0,,,0,300000,2,500000,4,,,0,204785.0469,,,0,,,0,410000,1,430000,8,,,0,204785.0469,,,0,,,0,500000,,,0,,,0,415000,415000
LST,,,140,958,150,21183,753,140,56049,80.08000183,437,80,24221,65,75.09999847,72091,120,183,150,183,,,0,126,691,126,72391,3956,125,32678,100,13,110,1736,2059,100,2059,180,150,175,11017,50,150,33944,152.8021855,171.0375131
LTA,,,3700,241,3700,2531,4,3600,1301,3800,6,3800,1629,4,2860,1356,3500,18,3800,218,,,0,4220,3,4220,1927,88,3900,1294,3800,196,3800,250,30,3000,30,3810,37,3810,1653,2,3420,706,3790.799631,3962.523003
LU,,,100000,5,139000,16,,,0,80000,,,0,,,0,62066.01953,,,0,,,0,120000,7,120000,7,13,90100,52,62066.01953,,,0,,,0,140000,,,0,,,0,100000,100000
MAG,,,550,9,798,4834,80,550,1233,294,10,294,732,12,100,212,117.5500031,14,300,14,,,0,250,239,300,2557,90,250,2310,117.5500031,10,350,10,,,0,87,20,399,90,100,87,100,550,607.29
MAI,86,,350,4110,389,43376,672,350,12142,320,10,330,15594,2397,320,7589,400,,,0,20,150,20,407,252,406,26976,146,401,8990,375,,,0,999,300,999,300,7041,330,34461,2899,300,8787,369.389494,380.8208963
MB,,,8900,50,8750,271,200,7500,983,8990,48,8990,200,200,7800,282,8000,,,0,,,0,7700,2,8100,854,168,7700,942,3403.679932,10,8400,10,,,0,8000,6,9000,6,74,8000,74,8901.665,7880.880772
MCB,,,350000,1,350000,2,,,0,400000,,,0,,,0,166644.3281,,,0,1,175000,1,340000,2,339000,7,,,0,166644.3281,,,0,,,0,350000,,,0,1,350000,1,350000,350000
MCG,12,36,35.90000153,712,35.90000153,60699,1576,34.20000076,340195,35.59999847,2250,35.59999847,175875,1465,32,146950,36,2000,36,2900,1000,20,1100,34.20000076,484,35,104628,1314,34.20000076,172976,35.90000153,4178,35.90000153,4178,3787,25,3787,35.5,670,35.5,42917,200,35,58304,35.76559723,35.49275438
MEA,,,3631.780029,150,3690,14626,45,3250,2932,3400,915,3400,7866,300,3170,1832,5000,50,4000,70,,,0,3600,1172,3600,32543,974,3100,3441,5000,20,3900,20,,,0,3250,15,3250,13776,66,3200,2906,3429.722859,3498.069324
MED,,,1440,1944,1440,9779,20,1340,17661,1340,34,1340,8624,900,1230,5606,2000,,,0,,,0,1390,928,1390,8670,11,1320,7527,1000,50,1400,768,45,1000,45,1330,205,1340,10184,1000,1180,4329,1446.791874,1322.291409
MFE,,,91278.96094,2,91900,40,1,70000,1,91000,1,91000,52,4,80000,8,43953.23047,,,0,,,0,90568.20313,6,91900,111,2,80000,6,43953.23047,,,0,,,0,91900,1,91900,84,2,2,2,90921.10778,90646.44361
MFK,,,274,700,274,18998,500,246,18487,270,56,270,3303,24,236,5918,220,,,0,1,22,1,225,1584,261,167630,6348,225,8117,200,73,200,951,,,0,274,3939,274,7236,64,255,6228,272.7383615,257.5839918
MFL,,,248000,1,249000,8,,,0,179000,1,179000,5,,,0,61608.85156,,,0,,,0,200000,1,200000,14,,,0,61608.85156,,,0,,,0,249000,1,249000,4,2,211000,2,244750,235723.9583
MG,,,104,421,104,66852,4928,88,47844,130,2463,130,21491,250,83.19999695,80638,60,,,0,,,0,112,15,112,133038,500,90.09999847,87504,85,1000,100,1000,2543,85,2543,110,928,110,27561,600,103,9138,106.0022415,106.9159496
MGC,,,35000,6,15900,138,,,0,14000,26,14000,34,,,0,8497.379883,,,0,,,0,17000,20,17000,119,,,0,8497.379883,27,20000,27,,,0,14000,11,14000,30,,,0,35000,35000
MGS,,,154,400,240,48225,522,154,8896,325,236,345,743,1000,110,4870,130,1463,130,14355,,,0,399,1470,399,4285,1967,213,14625,90,150,100,963,,,0,257.6499939,27,275,2857,1236,131,2256,203.5855233,272.3196847
MHL,,,5010,200,5500,1151,35,4820,1777,5520,60,6000,1929,389,4000,794,2700,,,0,,,0,6080,149,7980,7586,200,5600,1920,3000,1,4900,54,,,0,4975.600098,209,5900,1145,238,3700,294,7767.738267,5014.078202
MHP,,,4994.25,9,4990,609,500,4000,715,4300,42,4300,42,10,1000,10,2091.98999,100,4200,1916,,,0,5000,70,5000,170,,,0,2091.98999,10,5000,110,,,0,5000,,,0,80,3000,80,4451.611562,4434.234889
MLI,,,24000,,,0,59,24000,593,22000,,,0,11,20900,65,10185,,,0,,,0,31780.42969,1,34100,11,92,23000,483,10185,,,0,,,0,22000,,,0,,,0,23541.66792,23119.11649
MPC,,,2015.849976,20,2090,774,1000,1800,1353,1964.579956,175,2500,1175,1,1600,851,655.6900024,,,0,,,0,2000,100,2400,1546,100,1950,1320,400,10,2600,10,,,0,2640,776,2210,776,100,2000,100,2035.406355,2209.68862
MSL,,,190000,1,189000,13,1,160000,4,220000,1,219000,3,1,159000,2,82878.25781,,,0,1,90000,1,186210.3594,1,194000,14,1,170000,3,82878.25781,,,0,,,0,197500,1,240000,1,,,0,189151.0425,186239.5838
MTC,,,1000,1000,2500,1002,,,0,2000,,,0,,,0,446.2900085,,,0,,,0,150,100,3000,290,30,0.5,30,446.2900085,,,0,,,0,400,,,0,,,0,1052.08,945.9853659
MTP,,,1800,1000,1900,7848,30,1600,50,1800,240,1770,10257,,,0,3000,,,0,,,0,2000,990,2000,14876,868,1670,1868,1019.340027,,,0,,,0,1750,100,1700,7683,1,1190,1,1821.273091,1828.274485
MUS,,,336,3193,350,12380,4,336,3880,300,2874,330,14011,427,300,17648,170.3500061,,,0,,,0,389,10000,390,25307,1000,312,19999,170.3500061,,,0,,,0,310,3835,340,18199,6657,310,15534,341.98275,339.3255552
MWF,,,300,735,462,24515,,,0,350,100,400,1007,90,350,466,300,,,0,,,0,350,416,350,2253,50,250,4298,186.9799957,100,410,100,,,0,350,2,500,4027,100,30,100,362.05,468.1879873
N,,,124,3117,125,177183,218013,124,329339,115,11932,115,62329,600,86.09999847,49652,130,413,130,413,1000,100,1500,95,14400,98.19999695,170423,250,90.09999847,49705,97,107,97,107,1000,90,1000,120,1600,120,61974,200,118,30352,124.689227,129.0663877
NA,25,,25,3428,25.10000038,319107,100,25,100,25,4069,25.10000038,18774,100,25,100,25.10000038,500,25.10000038,1000,412,1.100000024,5546,25.10000038,17458,25.10000038,105756,100,25,100,1,42,16,2441,4871,1,4871,25,53173,25.10000038,100435,100,25,100,25.02513323,25.01380829
NAB,,,140,,,0,1500,120,3000,149,830,149,830,25000,100,25060,150,62,150,62,,,0,119.8600006,116,119,16704,500,100,13481,70,980,140,980,180,70,180,120,,,0,732,120,732,139.0347195,139.1808202
NCS,,,41.79999924,9994,41.79999924,309410,7510,40,47510,40.43999863,14375,40.5,104452,10000,36,15798,90,992,90,1992,,,0,35,1480,39,936393,13103,35,151439,16.78000069,3500,50,3500,,,0,39.79000092,10294,40,169393,7000,34,33592,40.84144498,39.80426382
NE,150,,298,2820,298,97038,8,223,8708,300,1618,300,1618,5,272,11155,300,,,0,,,0,270,1346,270,17218,5000,245,12350,300,148,300,148,,,0,210,7067,210,96798,5000,201,9988,298,298.0349741
NF,,,12000,1,12000,1,1,10800,1,10400,,,0,23,10400,23,5092.5,,,0,,,0,10400,1,14800,4,24,10400,69,5092.5,,,0,,,0,8000,,,0,,,0,10800,10583.33333
NFI,,,16.29999924,36450,16.29999924,237223,44343,14,164343,7.699999809,6000,15,19626,,,0,20,1000,15,2000,1000,8,1000,18,12,17.89999962,251343,24000,15.69999981,196920,18,9000,18,19000,1200,10,1200,15.5,50309,17.20000076,142542,9809,15.5,9809,15.93697003,16.84416979
NG,,,800,141,800,5300,200,610,1970,950,105,950,2953,400,650,400,950,100,1300,100,,,0,1070,20,1000,3629,1008,880,2233,780.8099976,50,930,50,,,0,1000,151,1000,1483,200,655,1652,654.164992,833.8512378
NL,,,5252.319824,12,5490,3107,10,5100,1274,5840,19,5840,1661,150,4580,1530,5000,,,0,,,0,6630,25,6630,4342,1,5400,2357,5000,10,5960,10,,,0,5015.120117,65,5900,959,200,4450,2600,5422.137464,5366.329059
NN,,,59000,25,59000,99,93,57000,529,56000,2,56000,23,4,50000,104,30000,,,0,,,0,60000,4,60000,6,100,56000,350,29292.80078,,,0,,,0,50000,,,0,,,0,56295.1375,56465.22024
NOZ,,,16000,,,0,50,10000,50,20000,,,0,,,0,43539.53125,,,0,,,0,40000,,,0,100,10000,100,43539.53125,,,0,,,0,43539.53125,,,0,,,0,16000,16000
NR,,,348,8424,375,104744,5000,349,24473,310,70234,360,76160,3000,309,18874,350,500,600,500,,,0,361,15000,360,214059,3000,334,24300,197.2100067,,,0,,,0,324.6099854,2000,378,19200,1500,303,23500,356.7501358,356.5064538
NS,,,317.6600037,335,320,46428,1000,290,14941,324,815,324,22257,440,265,29414,250,,,0,,,0,305,32,349,45651,672,305,20516,275,300,342,1300,,,0,350,5000,340,26019,100,300,4998,343.4947022,337.3483883
NST,,,1790,1073,1790,3764,204,1200,204,1690,162,1690,569,300,1210,468,1200,16,2500,16,,,0,1580,292,1580,3400,300,1240,1183,1339.130005,10,1570,212,,,0,1433.839966,28,1470,832,100,1300,420,1789.639568,1712.035445
